filename,Predicted Mean,Original Mean,Predicted Std,Original Std,Predicted Max,Original Max,Predicted Min,Original Min,Correlation Coefficient,L_c_pred_X==EW,L_c_orig_X==EW,L_c_pred_Y==NS,L_c_orig_Y==NS,beta_pred,beta_orig,H_pred,H_orig
slip_array_s2013SCOTIA02HAYE.npy,1.140315038224946,23.2992,1.8605888043471512,37.3977,9.424468079886436,226.0,5.813038609857878e-15,0.0,0.9383333456491234,3.5,3.5,3.5,3.0,3.7594234109168743,3.2505946359527873,0.8797117054584371,0.6252973179763937
slip_array_s1978MIYAGI01YAMA.npy,1.210838911866322,51.9748,0.9150369278881236,49.45228,4.677086016532779,215.0,8.535175473009076e-05,0.0,0.6188491156276379,5.0,5.5,5.5,5.5,4.092308153331331,3.287453695684377,1.0461540766656654,0.6437268478421885
slip_array_s2007KURILI01SLAD.npy,0.7607302932196182,12.8692,1.7771654080022765,34.083675,11.169075101372005,225.0,1.8255901895394832e-09,0.0,0.838331209616827,2.0,2.0,2.5,2.0,3.6316430374067674,3.124170925649418,0.8158215187033837,0.562085462824709
slip_array_s2011KERMAD03HAYE.npy,1.9259871500105386,41.5836,2.198021040695101,49.927505,12.63294391553833,215.0,8.566624722172296e-12,0.0,0.6876364686128353,5.0,6.0,6.0,6.5,3.5474284703960874,3.747437617469997,0.7737142351980437,0.8737188087349985
slip_array_s2012SUMATR01HAYE.npy,0.21121089987881286,3.5996,0.5647986995210906,14.05182,5.404750287624598,115.0,1.58314121984335e-13,0.0,0.3311091315817665,1.5,1.0,1.5,1.0,2.5426680849650043,1.9205606613343758,0.27133404248250215,-0.039719669332812124
slip_array_s2010MAULEC01SLAD.npy,0.6465860092066777,54.9568,0.6667194232439332,57.68418,2.918958251155615,215.0,4.203100051630345e-09,0.0,0.8833474665877181,4.5,4.5,6.0,5.5,3.744958941074641,3.3445017375610924,0.8724794705373204,0.6722508687805462
slip_array_s2007TOCOPI01JIxx.npy,1.8589707237057076,44.2268,0.9541827172724371,26.838766,5.160075275298953,210.0,1.2625625305921063e-05,0.0,0.47948941557455105,4.0,3.0,7.0,6.0,3.8199681841589412,3.560152081046535,0.9099840920794706,0.7800760405232674
slip_array_s1944TONANK01ICHI.npy,0.48963869324813486,47.666,0.5469242473479007,52.84465,2.181762330587804,213.0,0.003968508363981964,0.0,0.6793488357187158,7.5,4.5,5.5,5.0,4.834921840688911,3.43048120722662,1.4174609203444555,0.7152406036133101
slip_array_s2005SUMATR01JIxx.npy,0.5821046058949075,36.3956,0.7267918860185043,43.787388,2.8121429495092483,214.0,1.0093690088763819e-07,0.0,0.8122170653746005,4.0,5.0,4.5,5.5,4.093165023616437,3.4976000673277237,1.0465825118082184,0.7488000336638618
slip_array_s2016KAMCHA02HAYE.npy,1.3154477809290754,26.1564,2.134407513832425,34.232475,12.95224146900475,214.0,4.5992592726812805e-15,0.0,0.30561104514394777,2.0,4.5,2.0,4.5,3.54807688949727,3.8898048649837866,0.774038444748635,0.9449024324918933
slip_array_s2007PAGAII01HAYE.npy,0.5461763159532673,23.8208,0.8232767229116547,29.556889,4.168922835298427,215.0,1.73373983395858e-06,0.0,0.5430714136813883,4.0,4.5,4.0,4.5,4.193914259883049,4.082011650801538,1.0969571299415244,1.0410058254007688
slip_array_s2011TOHOKU01LAYx.npy,0.5757047351432427,40.786,0.604010981326091,42.69165,2.5982333291479947,202.0,1.2009673865328524e-05,0.0,0.8383018996094074,4.5,4.5,6.5,6.0,4.122272837779305,3.165889209138586,1.0611364188896526,0.582944604569293
slip_array_s2009VANUAT01SLAD.npy,2.0985051518691438,58.7232,1.9417621146114863,59.87256,10.574644515013695,215.0,7.638310130837489e-08,0.0,0.7801905152588584,4.5,5.0,5.5,5.0,4.4502774421806475,4.084513910447275,1.2251387210903237,1.0422569552236376
slip_array_s2016SOLOMO01HAYE.npy,1.0657065502059013,30.8732,1.6162942071144162,40.27341,8.859329039241734,214.0,2.0370842143048225e-08,0.0,0.8689581695846033,5.0,5.5,5.0,5.5,4.2346401020636995,3.8472022260794163,1.1173200510318497,0.9236011130397082
slip_array_s2011HONSHU01SHAO.npy,0.573670033042062,48.9308,0.607986828442817,57.644745,2.6109035644191505,215.0,2.6956763391788176e-05,0.0,0.9392695807833965,4.5,4.0,6.5,5.5,4.070383183601052,3.830990344908474,1.0351915918005261,0.9154951724542371
