filename,Event,EventTAG,LAT,LON,DEP,LEN_f,WID,Mw,Mo,STRK,DIP,RAKE,Htop,HypX,HypZ,avTr,avVr,Nx,Nz,Fmin,Fmax,Dx,Dz,Ntw,Nsg,LEN_inv,SHF,SVF,SGM-Data,TELE-Data,TRIL-Data,LEVEL-Data,GPS-Data,INSAR-Data,SURF-Data,OTHER-Data,SGM-PHImx,TELE-PHImx,TRIL-PHImx,LEVEL-PHImx,GPS-PHImx,INSAR-PHImx,SURF-PHImx,OTHER-PHImx,SGM-Rmin,TELE-Rmin,TRIL-Rmin,LEVEL-Rmin,GPS-Rmin,INSAR-Rmin,SURF-Rmin,OTHER-Rmin,BBR-Data,HR-GPS-Data,Hr-GPS-Data,InSAR-Data,Other-Data,SAT-Data,SPOT-Data,hr-GPS-Data,inSAR-Data,level-Data,tril-Data
s2006KURILI01JIxx.fsp,Kuril Islands,s2006KURILI01JIxx,46.6216,153.27229,25.8576,400.0,137.5,8.3,3.16e+21,220.2300000000008,14.88999999999998,91.1508832186628,4.979274220029819,230.0,81.25,999.0,999.0,20.0,11.0,999.0,999.0,20.0,12.5,999.0,1.0,999.0,999.0,999,0.0,46.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2006KURILI01LAYx.fsp,Kuril Islands,s2006KURILI01LAYx,46.592,153.266,12.0,240.0,100.0,8.4,5.02e+21,220.0,15.0,96.75064456997004,0.353,188.74,47.63,999.0,999.0,12.0,10.0,0.8,2.0,20.0,10.0,6.0,1.0,2.0,2.0,symm.traingles,0.0,280.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,,0.0,
s2006KURILI02SLAD.fsp,Kuril Islands,s2006KURILI02SLAD,46.607,153.23,20.0,315.0,132.0,8.3,3.16e+21,220.0,15.0,99.42921413551755,2.297,238.75,62.54,2.0,2.0,21.0,11.0,999.0,999.0,15.0,12.0,999.0,1.0,999.0,999.0,999,0.0,53.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2006PINGTU02YENx.fsp,Pingtung evnt2 (Taiwan),s2006PINGTU02YENx,21.97,120.42,50.22,90.0,80.0,6.8,1.8e+19,160.0,52.0,2.0,26.96,50.0,35.0,2.0,2.7,18.0,16.0,0.01,0.5,5.0,5.0,1.0,1.0,2.0,0.0,triang,0.0,15.0,0.0,0.0,0.0,,,,0.0,107.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,
s2006SOUTHE01JIxx.fsp,"Southern Java, Indonesia",s2006SOUTHE01JIxx,-9.30801,107.35979,14.71768,315.0,77.0,7.7,3.98e+20,288.9400000000001,10.34999999999998,94.4197575143582,5.824465882737442,232.5,49.5,999.0,999.0,21.0,7.0,999.0,999.0,15.0,11.0,999.0,1.0,999.0,999.0,999,0.0,30.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2006SOUTHE01KONC.fsp,"Southern Java, Indonesia",s2006SOUTHE01KONC,-9.295,107.345,9.802524889546552,240.0,162.5,7.9,7.94e+20,289.0,10.0,83.49628199724819,0.2330000000000001,210.01,55.11,999.0,999.0,20.0,13.0,999.0,999.0,12.0,12.5,999.0,1.0,999.0,999.0,999,0.0,13.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007BENGKU01GUSM.fsp,"Bengkulu, Indonesia",s2007BENGKU01GUSM,-4.52,101.374,21.23,400.0,250.0,8.5,6.7e+21,328.0,9.0,97.20657300621734,10.045,65.46,71.47,999.0,999.0,16.0,10.0,999.0,999.0,25.0,25.0,999.0,1.0,999.0,999.0,Not-Applicable,0.0,0.0,,,0.0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,,0.0,0.0,0.0,0.0,0.0,0.0,999.0,,,,,0.0,,,,,,0.0,0.0
s2007BENGKU02GUSM.fsp,"Bengkulu, Indonesia",s2007BENGKU02GUSM,-4.52,101.374,21.23,400.0,250.0,8.5,6.7e+21,328.0,9.0,79.13420555603808,10.045,65.46,71.47,999.0,999.0,16.0,10.0,999.0,999.0,25.0,25.0,999.0,1.0,999.0,999.0,Not-Applicable,0.0,0.0,,,0.0,,,4.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,,0.0,0.0,0.0,0.0,0.0,999.0,999.0,,,,,7201.0,,,,,,0.0,0.0
s2007BENKUL01HAYE.fsp,"Benkulu,Indonesia",s2007BENKUL01HAYE,-4.517,101.382,30.0,352.0,320.0,8.44,6.04e+21,320.0,15.0,103.50754401389337,3.08,72.0,104.0,8.1,2.2,22.0,20.0,0.0,1.0,16.0,16.0,10.0,1.0,3.6,1.8,asymetriccosine,0.0,87.0,0.0,0.0,0.0,0.0,0.0,,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s2007BENKUL01JIxx.fsp,"Benkulu, Indonesia",s2007BENKUL01JIxx,-4.5469,101.3795,29.5693,560.0,159.5,8.4,4.47e+21,323.0,12.0,110.02614462615064,9.973640241571244,190.0,94.25,999.0,999.0,28.0,11.0,999.0,999.0,20.0,14.5,999.0,1.0,999.0,999.0,triangular,0.0,71.0,,,0.0,,,999.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,,0.0,999.0,0.0,0.0,0.0,0.0,999.0,,,,,0.0,,,,,,0.0,0.0
s2007BENKUL01KONC.fsp,"Benkulu, Indonesia",s2007BENKUL01KONC,-4.53209,101.39184,30.0,450.0,208.0,8.4,4.47e+21,327.0,12.0,101.53772641272027,5.050596473457926,153.0,120.0,999.0,999.0,25.0,13.0,999.0,999.0,18.0,16.0,999.0,1.0,999.0,999.0,999,0.0,34.0,,,0.0,,,999.0,0.0,999.0,0.0,0.0,0.0,0.0,999.0,,0.0,999.0,0.0,0.0,0.0,0.0,999.0,,,,,0.0,,,,,,0.0,0.0
s2007BENKUL02KONC.fsp,"Benkulu,Indonesia",s2007BENKUL02KONC,-4.54532,101.37801,29.40841,400.0,368.0,8.4,4.47e+21,324.0,15.0,94.29315090041666,2.491227639179834,72.0,104.0,999.0,999.0,25.0,23.0,999.0,999.0,16.0,16.0,999.0,1.0,999.0,999.0,999,0.0,35.0,,,37.0,,,1.0,0.0,999.0,999.0,0.0,0.0,0.0,999.0,,0.0,999.0,999.0,0.0,0.0,0.0,999.0,,,,,0.0,,,,,,0.0,0.0
s2007KURILI01HAYE.fsp,Kuril Islands,s2007KURILI01HAYE,46.24,154.52,7.5,320.0,92.96,8.18,2.43e+21,220.0,39.0,-106.1977317228711,3.84,170.0,5.81,4.3,2.4,16.0,8.0,0.0,1.0,20.0,11.62,5.0,1.0,3.2,1.6,asymetriccosine,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s2007KURILI01JIxx.fsp,Kuril Islands,s2007KURILI01JIxx,46.2856,154.4348,18.1531,200.0,35.0,8.1,1.58e+21,42.35999999999988,57.87999999999992,-114.13666631654576,3.3316590583019376,76.0,17.5,999.0,999.0,25.0,7.0,0.0,0.5,8.0,5.0,999.0,1.0,160.0,999.0,999,0.0,77.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007KURILI01SLAD.fsp,Kuril Islands,s2007KURILI01SLAD,46.2542,154.43201,10.0,224.0,40.0,8.1,1.58e+21,42.0,58.0,-97.72651419007984,3.639639759608935,84.0,7.5,3.8,3.8,28.0,8.0,0.04,0.2,8.0,5.0,999.0,1.0,999.0,999.0,999,0.0,24.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007MOLUCC01HAYE.fsp,Molucca Sea,s2007MOLUCC01HAYE,1.07,126.28,22.0,217.5,71.68,7.45,1.99e+20,26.0,38.0,103.87263107984298,1.51,108.75,33.28,2.5,1.9,29.0,14.0,0.0,1.0,7.5,5.12,5.0,1.0,1.8,0.9,asymetriccosine,0.0,49.0,0.0,0.0,0.0,0.0,0.0,,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s2007NIIGAT01CIRE.fsp,Niigata-ken Chuetsu-oki,s2007NIIGAT01CIRE,37.54,138.61,8.9,36.75,29.75,6.6,1.6e+19,49.0,42.0,-99.0,1.51,27.12,9.62,-99.0,-99.0,21.0,17.0,0.02,0.5,1.75,1.75,1.0,1.0,-99.0,0.0,reg_yoffe,13.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,,,,,,,,,,,
s2007NOTOHA01ASAN.fsp,"Noto Hanto, Japan",s2007NOTOHA01ASAN,37.217,136.7019,9.62,30.0,16.0,6.73,1.57e+19,58.0,60.0,140.43369498124846,0.1,17.0,11.0,3.5,2.8,15.0,8.0,0.05,1.0,2.0,2.0,6.0,1.0,1.0,0.5,smooth,12.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,,,,,0.0,,,,,,
s2007PAGAII01HAYE.fsp,"Pagai,Indonesia",s2007PAGAII01HAYE,-2.62,100.84,35.0,224.0,162.15,7.86,8.12e+20,317.29,25.0,97.20872020019333,0.73,49.0,81.08,4.2,2.3,16.0,15.0,0.0,1.0,14.0,10.81,5.0,1.0,3.4,1.7,asymetriccosine,0.0,40.0,0.0,0.0,0.0,0.0,0.0,,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.87,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s2007PAGAII01JIxx.fsp,"Pagai, Indonesia",s2007PAGAII01JIxx,-2.7156,100.8011,44.6383,312.5,90.0,7.9,7.94e+20,319.0,19.0,99.32714816365966,29.987659227714214,56.25,45.0,999.0,999.0,25.0,9.0,999.0,999.0,12.5,10.0,999.0,1.0,999.0,999.0,999,0.0,68.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007PAGAII01KONC.fsp,"Pagai, Indonesia",s2007PAGAII01KONC,-2.76365,100.49819,34.71242,240.0,190.0,7.9,7.94e+20,323.0,15.0,96.83570684708336,7.536424774487396,54.0,105.0,2.2,2.2,20.0,19.0,999.0,999.0,12.0,10.0,999.0,1.0,999.0,999.0,999,0.0,37.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
