filename,Nx,Nz,Fmin,Fmax,Dx,Dz,Ntw,Nsg,LEN,SHF,SVF,SGM-Data,TELE-Data,TRIL-Data,LEVEL-Data,GPS-Data,INSAR-Data,SURF-Data,OTHER-Data,SGM-PHImx,TELE-PHImx,TRIL-PHImx,LEVEL-PHImx,GPS-PHImx,INSAR-PHImx,SURF-PHImx,OTHER-PHImx,SGM-Rmin,TELE-Rmin,TRIL-Rmin,LEVEL-Rmin,GPS-Rmin,INSAR-Rmin,SURF-Rmin,OTHER-Rmin,BBR-Data,HR-GPS-Data,Hr-GPS-Data,InSAR-Data,Other-Data,SAT-Data,SPOT-Data,hr-GPS-Data,inSAR-Data,level-Data,tril-Data
s2009LAQUIL01GALL.fsp,20.0,15.0,0.05,0.5,1.0,1.0,26.0,1.0,0.4,0.4,delta,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
s2009LAQUIL01GUAL.fsp,15.0,12.0,999.0,999.0,2.0,2.0,999.0,1.0,86400.0,0.0,geodetic,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2009LAQUIL01POIA.fsp,6.0,4.0,0.01,0.5,4.0,4.0,4.0,1.0,2.0,1.0,triangle,0.0,34.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
s2009LAQUIL02CIRE.fsp,15.0,9.0,0.02,0.5,1.75,1.75,1.0,1.0,-99.0,0.0,reg_yoffe,14.0,0.0,0.0,0.0,36.0,4599.0,0.0,0.0,45.0,0.0,0.0,0.0,45.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.08,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2009LAQUIL02POIA.fsp,6.0,4.0,0.05,0.5,4.0,4.0,6.0,1.0,0.8,0.8,ramp,14.0,0.0,0.0,NaN,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
s2009LAQUIL03CIRE.fsp,15.0,9.0,0.02,0.5,1.75,1.75,1.0,1.0,-99.0,0.0,reg_yoffe,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2009LAQUIL04CIRE.fsp,15.0,9.0,0.0,0.0,1.75,1.75,1.0,1.0,-99.0,0.0,reg_yoffe,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2009LAQUIL05CIRE.fsp,15.0,9.0,0.0,0.0,1.75,1.75,1.0,1.0,-99.0,0.0,reg_yoffe,0.0,0.0,0.0,0.0,0.0,4599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2009OFFSHO01HAYE.fsp,36.0,8.0,999.0,999.0,5.0,4.5,999.0,1.0,999.0,999.0,999,0.0,45.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2009PADANG01HAYE.fsp,13.0,15.0,999.0,999.0,5.0,4.64,999.0,1.0,999.0,999.0,999,0.0,55.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
